emp_no,first_name,last_name,title,from_date,to_date
60468,Akeel,Gurbaxani,Senior Staff,1985-10-31,9999-01-01
60492,Gregory,Bondorf,Technique Leader,1985-07-15,9999-01-01
60587,Fun,Bernardinello,Engineer,1985-06-28,1992-06-28
60623,Rafols,Anily,Staff,1985-10-31,1994-10-31
60626,Munir,Maraist,Engineer,1985-04-01,1993-04-01
60847,Djenana,Sankaranarayanan,Engineer,1985-02-19,1994-02-19
60928,Krister,Siprelle,Engineer,1985-07-26,1990-07-26
60934,Peternela,Lores,Engineer,1985-10-18,1991-10-18
60947,Make,Shokrollahi,Senior Staff,1985-07-29,9999-01-01
61054,Kitty,Emmart,Technique Leader,1985-09-27,9999-01-01
61059,Francoise,Mamelak,Staff,1985-07-27,1994-07-27
61077,Gen,Schiper,Engineer,1985-08-01,1994-08-01
61104,Christ,Liedekerke,Engineer,1985-06-23,1990-06-23
61184,Sibyl,Hainaut,Engineer,1985-09-26,1990-09-26
61191,Zhenhua,Aseltine,Staff,1985-11-25,1990-11-25
61228,Golgen,Macedo,Staff,1985-05-20,1991-05-20
61249,Renny,Gruenwald,Engineer,1985-04-07,1993-04-07
61324,Bojan,Noriega,Engineer,1985-05-22,1991-05-22
61326,Wonhee,Koblick,Staff,1985-10-27,1992-10-26
61449,Elvia,Monarch,Staff,1985-10-06,1994-10-06
61462,Abdelwaheb,Schnelling,Staff,1985-09-10,1993-09-10
61509,Baruch,Erdmenger,Assistant Engineer,1985-02-10,1992-02-11
61715,Jouko,Marakhovsky,Staff,1985-07-12,1993-07-12
61741,Aron,Beeson,Staff,1985-11-13,1994-11-13
61742,Sachar,Terekhov,Engineer,1985-07-15,1991-07-15
61750,Lijia,Peral,Staff,1985-08-14,1992-08-14
61866,Annemarie,Rebaine,Staff,1985-10-17,1990-10-17
61878,Claude,Lampe,Engineer,1985-10-01,1991-10-01
61929,Zita,Glowinski,Engineer,1985-06-27,1992-06-27
61974,Khalid,Pargaonkar,Engineer,1985-03-01,1993-03-01
62062,Sudhanshu,Demir,Engineer,1985-03-24,1993-03-24
62352,Susumu,Belinskaya,Senior Staff,1985-10-12,1986-01-18
62404,Luerbio,Narlikar,Technique Leader,1985-06-29,9999-01-01
62439,Xianlong,Douceur,Senior Staff,1985-02-14,9999-01-01
62460,Mahendra,Motley,Staff,1985-10-02,1990-10-02
62533,Naftaly,Eiron,Engineer,1985-10-29,1993-10-29
62548,Billur,Hutter,Senior Engineer,1985-06-17,9999-01-01
62764,Saeed,Encarnacion,Assistant Engineer,1985-11-26,1990-11-26
62815,Jenwei,Lorch,Staff,1985-10-17,1986-08-19
62865,Masali,Mellouli,Engineer,1985-12-27,1994-12-27
62883,Masoud,Cichocki,Engineer,1985-02-05,1994-02-05
63011,Chriss,Willoner,Staff,1985-06-15,1993-06-15
63126,Lidong,Landherr,Staff,1985-08-04,1986-09-22
63277,Insup,Lorie,Engineer,1985-09-04,1991-09-04
63327,Felicidad,Breugel,Engineer,1985-07-29,1994-07-29
63351,Ayonca,Socorro,Staff,1985-03-27,1993-03-27
63493,Serif,Wroclawski,Staff,1985-11-22,1992-11-22
63816,KayLiang,Schach,Engineer,1985-03-17,1991-03-17
63916,Tadahiro,Weedman,Engineer,1985-09-02,1993-09-02
64032,Erzsebet,Mitchem,Staff,1985-04-13,1991-04-13
64041,Saeko,Lamba,Engineer,1985-06-20,1994-06-20
64063,Jungsoon,Laurillard,Engineer,1985-07-14,1991-07-14
64067,Leszek,Merey,Engineer,1985-06-07,1991-06-07
64099,Fumitake,Shackell,Staff,1985-08-11,1993-08-11
64185,Yefim,Prochazka,Staff,1985-09-14,1993-09-14
64198,Mechthild,Langford,Staff,1985-10-21,1994-10-21
64217,Manohar,Heuser,Staff,1985-12-07,1990-12-07
64248,Guoxiang,Peral,Staff,1985-12-27,1991-12-27
64418,Shahaf,Pulkowski,Assistant Engineer,1985-05-02,1990-05-02
64438,Doowon,Sidje,Engineer,1985-07-17,1991-07-17
64508,Kristine,Denos,Engineer,1985-06-01,1994-06-01
64520,Richara,Hinsberger,Senior Staff,1985-04-15,1992-01-18
64596,Pradeep,Taubenfeld,Engineer,1985-03-10,1991-03-10
64622,Francoise,Baja,Engineer,1985-08-21,1991-08-21
64644,Djelloul,Poujol,Senior Engineer,1985-08-13,9999-01-01
64651,Munehiro,Schmiedel,Assistant Engineer,1985-09-22,1990-09-22
64744,Mariangiola,Gluchowski,Staff,1985-06-20,1990-06-20
64805,Insup,Perfilyeva,Staff,1985-10-05,1994-10-05
64813,Arup,Schaar,Staff,1985-08-02,1994-08-02
64847,Chinhyun,Conry,Engineer,1985-10-02,1991-10-02
64902,Lidong,Stanger,Staff,1985-02-18,1990-02-18
64989,Zsolt,Peck,Staff,1985-06-25,1990-09-15
65058,Billie,Comyn,Engineer,1985-07-28,1991-06-28
65079,Arno,Demizu,Assistant Engineer,1985-07-07,1990-07-07
65095,Munenori,Falster,Staff,1985-06-20,1994-06-20
65129,Yuchang,Akaboshi,Staff,1985-04-21,1994-04-21
65148,Mantis,Erbe,Senior Staff,1985-05-25,9999-01-01
65174,Nobuyoshi,Clouatre,Senior Engineer,1985-10-21,9999-01-01
65188,Stevo,Aumann,Staff,1985-02-06,1990-02-06
65206,Yuichiro,Figueira,Engineer,1985-09-17,1990-09-17
65323,Sukumar,Mitzlaff,Engineer,1985-04-24,1990-04-24
65326,Ronghao,Perry,Assistant Engineer,1985-08-20,1991-08-20
65628,Eckart,Rodham,Senior Engineer,1985-09-30,9999-01-01
65631,Deniz,Sridhar,Engineer,1985-11-21,1994-11-21
65648,Tomoyuki,Biros,Staff,1985-11-22,1991-11-22
65697,Oldrich,Hainaut,Staff,1985-05-01,1992-05-01
65827,Diederik,Kopetz,Engineer,1985-05-10,1993-05-10
65880,Shai,Kobara,Technique Leader,1985-05-03,9999-01-01
65961,Rosita,Desikan,Engineer,1985-09-06,1993-09-06
65995,Genevieve,Gerlach,Engineer,1985-08-26,1990-08-26
66017,Ohad,Rouquie,Staff,1985-07-05,1990-07-05
66025,Francesca,Rajcani,Senior Engineer,1985-04-20,9999-01-01
66049,Susanta,Riesenhuber,Engineer,1985-08-03,1991-08-03
66094,Masali,Trogemann,Technique Leader,1985-02-13,9999-01-01
66129,Jacqueline,Gihr,Engineer,1985-05-30,1990-05-30
66149,Sukumar,Rajcani,Engineer,1985-10-08,1993-10-08
66402,Kasidit,Lorho,Senior Engineer,1985-11-08,9999-01-01
66507,Etsuo,Bondorf,Technique Leader,1985-09-10,9999-01-01
66617,Sham,Geffroy,Engineer,1985-06-17,1991-06-17
66635,Beshir,Usery,Staff,1985-11-22,1994-11-22
66637,Giordano,Szmurlo,Staff,1985-08-14,1992-08-14
66692,Sudhanshu,Trogemann,Senior Engineer,1985-08-04,1986-11-08
66707,Kamran,Francisci,Staff,1985-12-31,1991-12-31
66762,Abdulah,Melski,Staff,1985-05-14,1992-05-14
66813,Panayotis,Sidje,Engineer,1985-09-07,1992-09-07
66939,Yechezkel,Nations,Staff,1985-10-28,1992-10-28
67061,Ymte,Sifakis,Engineer,1985-09-09,1993-09-09
67257,Marin,Baig,Staff,1985-04-14,1994-04-14
67274,Udo,Gajiwala,Staff,1985-10-14,1992-10-14
67277,Teiji,Aamodt,Staff,1985-08-24,1993-08-24
67284,Souichi,Binding,Engineer,1985-10-08,1994-10-08
67336,Theron,Leslie,Senior Staff,1985-05-30,1989-12-04
67349,Youpyo,Lampe,Engineer,1985-02-19,1990-02-19
67412,Nectarios,Birke,Senior Staff,1985-03-02,9999-01-01
67491,Christoper,Bernatsky,Staff,1985-05-15,1993-05-15
67499,Arra,Kumaresan,Engineer,1985-09-17,1992-09-17
67501,Willard,Genther,Engineer,1985-03-23,1991-03-23
67610,Ugo,Kitsuregawa,Staff,1985-02-10,1990-02-10
67646,Jaewoo,Back,Technique Leader,1985-08-24,1991-09-14
67716,Srinidhi,Tiemann,Engineer,1985-11-14,1993-11-14
67732,Aluzio,Cyne,Engineer,1985-06-10,1993-06-10
67766,Berto,Monarch,Staff,1985-04-08,1990-04-08
67808,Somnath,Bruckman,Staff,1985-10-08,1992-10-08
67829,Francesca,Skafidas,Staff,1985-08-09,1992-08-09
67868,Akhilish,Rotem,Staff,1985-06-20,1992-06-20
67953,Krister,Socorro,Staff,1985-09-25,1992-09-25
67956,Irene,Klyachko,Senior Staff,1985-08-05,1998-10-13
67971,Qunsheng,Eldridge,Senior Engineer,1985-10-28,9999-01-01
68027,Moss,Nicolson,Engineer,1985-05-30,1992-05-30
68144,Boaz,Brendel,Engineer,1985-03-12,1990-03-12
68175,Barna,Dichev,Senior Engineer,1985-09-14,1997-07-07
68235,Sailaja,Vickson,Staff,1985-02-13,1990-02-13
68267,Kwan,Collavizza,Staff,1985-08-26,1994-08-26
68326,Munir,Marquardt,Staff,1985-07-10,1990-07-10
68344,Niranjan,Mellouli,Engineer,1985-12-06,1991-12-06
68360,Amalendu,Hiyoshi,Staff,1985-02-05,1991-02-05
68369,Hidde,Hofting,Senior Staff,1985-11-13,9999-01-01
68378,Charmane,Lorcy,Staff,1985-04-14,1993-04-14
68564,Kayoko,Scharstein,Assistant Engineer,1985-05-01,1994-05-01
68663,Qunsheng,Oskamp,Assistant Engineer,1985-07-29,1990-07-29
68703,Jayesh,Cairo,Engineer,1985-10-09,1991-10-09
68723,Selwyn,Litzkow,Engineer,1985-12-10,1990-12-10
68743,Yagil,Bamford,Engineer,1985-03-27,1992-03-27
69042,Shuky,Masamoto,Staff,1985-10-14,1991-03-04
69065,Shigenori,Bashian,Staff,1985-03-02,1994-03-02
69101,Ramalingam,Lamma,Staff,1985-07-27,1990-07-27
69115,Paloma,Kamber,Senior Engineer,1985-09-09,9999-01-01
69168,Josyula,Kumaresan,Engineer,1985-02-25,1990-02-25
69170,Aron,Llado,Staff,1985-09-07,1991-09-07
69210,Dekang,Boguraev,Senior Engineer,1985-05-29,2000-05-21
69356,Kenton,Jonsson,Engineer,1985-05-16,1994-05-16
69396,Marin,Bridgland,Engineer,1985-02-12,1990-02-12
69470,Shuky,Stranks,Staff,1985-09-21,1994-09-21
69472,Valter,Haddadi,Engineer,1985-12-07,1990-12-07
69482,Muzhong,Nicolson,Engineer,1985-05-23,1991-05-23
69496,Gad,Ruemmler,Engineer,1985-07-21,1993-07-21
69696,Ziva,Perri,Assistant Engineer,1985-12-09,1991-12-09
69746,Lidong,Gomatam,Staff,1985-12-09,1991-12-09
69776,Bilhanan,Hennings,Staff,1985-04-05,1990-04-05
69917,Adhemar,Broder,Senior Staff,1985-07-06,9999-01-01
69966,Barun,Gist,Assistant Engineer,1985-11-29,1992-11-29
69998,Yurij,Dolinsky,Engineer,1985-10-04,1991-10-04
70116,Ziva,Stamatiou,Staff,1985-09-21,1990-09-21
70142,Dayanand,Rassart,Staff,1985-06-06,1994-06-06
70234,Theirry,Nitsch,Staff,1985-07-21,1990-07-21
70325,Elvis,Garrabrants,Staff,1985-10-19,1994-10-19
70334,Karlis,Lovengreen,Engineer,1985-05-13,1994-05-13
70452,Vesna,Trachtenberg,Staff,1985-04-01,1992-04-01
70496,Dung,Tiemann,Technique Leader,1985-07-22,1998-09-16
70522,Subhrajyoti,Baaz,Staff,1985-09-20,1991-08-24
70524,Rajmohan,Rettelbach,Staff,1985-03-02,1991-03-02
70596,Kasturi,DeMori,Engineer,1985-09-19,1991-09-19
70601,Xinglin,Aumann,Technique Leader,1985-10-12,9999-01-01
70664,Fumitake,Sinicrope,Senior Staff,1985-04-15,9999-01-01
70714,Shir,Thombley,Staff,1985-08-08,1993-08-08
70745,Berna,Iivonen,Staff,1985-07-06,1994-07-06
70795,Fumiya,Foong,Engineer,1985-09-08,1990-09-08
70848,Shin,Talmon,Engineer,1985-06-24,1992-06-24
70865,Malu,Demian,Assistant Engineer,1985-05-30,1994-05-30
70879,Bangqing,Menhardt,Staff,1985-09-30,1993-09-30
70894,Randy,Middleton,Staff,1985-05-11,1990-05-11
70961,Gad,Seuren,Engineer,1985-09-22,1994-09-22
70981,Yakkov,Impagliazzo,Assistant Engineer,1985-02-02,1991-02-02
71002,Moti,Jansch,Staff,1985-09-25,1990-09-25
71107,Shahaf,Erva,Engineer,1985-12-09,1987-07-02
71137,Honesty,Segond,Staff,1985-02-09,1994-02-09
71145,Arie,Demir,Staff,1985-09-27,1994-09-27
71153,Angel,Zuberek,Senior Staff,1985-03-20,9999-01-01
71165,Premal,Marzano,Senior Engineer,1985-05-27,9999-01-01
71181,Koichi,Conde,Engineer,1985-10-23,1991-10-23
71198,Nagui,Parveen,Senior Engineer,1985-04-20,9999-01-01
71258,Dharmaraja,Kropp,Engineer,1985-10-27,1990-10-27
71479,Mircea,Parfitt,Engineer,1985-11-23,1990-11-23
71563,Nadjib,Stifter,Engineer,1985-08-24,1990-08-24
71578,Marsha,Rosen,Technique Leader,1985-02-16,9999-01-01
71712,Petter,Choobineh,Engineer,1985-08-23,1990-08-23
71728,Anneli,Pettis,Staff,1985-12-24,1990-12-24
71734,Mads,Loncour,Staff,1985-06-19,1992-06-19
71949,Bezalel,Pettey,Engineer,1985-07-28,1990-07-28
72169,Debatosh,Wielonsky,Senior Engineer,1985-04-11,9999-01-01
72229,Shaw,Fetvedt,Engineer,1985-05-16,1990-05-16
72296,Gianluca,Sudbeck,Staff,1985-07-06,1991-07-06
72374,Arie,Katiyar,Engineer,1985-09-07,1990-09-07
72539,Dannz,Imataki,Engineer,1985-03-23,1993-02-26
72721,Mohit,Sidhu,Technique Leader,1985-06-11,1992-08-06
72803,Parke,Swist,Staff,1985-05-16,1992-05-16
72846,Uzi,Lorys,Engineer,1985-02-23,1993-02-23
72887,Sachio,Dayana,Engineer,1985-11-29,1991-11-29
72909,Mariusz,Lunn,Staff,1985-05-06,1991-05-06
73008,Joydip,Harnett,Staff,1985-10-13,1992-10-13
73048,Xiaoshan,Denna,Engineer,1985-10-09,1990-10-09
73061,Shichao,Redmiles,Engineer,1985-10-27,1993-10-27
73157,Sedat,Halevi,Staff,1985-11-07,1992-11-07
73164,Yuichiro,Benner,Technique Leader,1985-07-11,9999-01-01
73216,Urs,Masada,Senior Staff,1985-10-31,9999-01-01
73447,Marla,Bresenham,Engineer,1985-02-27,1994-02-27
73476,Arlette,Codenie,Senior Engineer,1985-02-18,1988-12-15
73693,Elliott,Douceur,Technique Leader,1985-08-09,9999-01-01
73696,Brigham,Comellas,Senior Engineer,1985-09-07,1994-05-29
73697,Bokyung,Perfilyeva,Staff,1985-08-10,1991-08-10
73714,Cullen,Rosch,Engineer,1985-06-06,1990-06-06
73800,Chanjung,Quadeer,Staff,1985-04-17,1993-04-17
73807,Danae,Tsunoo,Engineer,1985-12-07,1988-04-26
73892,Peternela,Sundgren,Staff,1985-09-24,1994-09-24
73940,Elgin,Anick,Engineer,1985-12-17,1990-12-17
73945,Munenori,Zongker,Senior Staff,1985-03-24,9999-01-01
73963,Eirik,Jansen,Staff,1985-09-07,1993-07-09
74011,Bilhanan,Cairo,Staff,1985-09-09,1992-09-09
74249,Bokyung,Koyama,Staff,1985-09-13,1994-09-13
74265,Alenka,Schaad,Engineer,1985-10-17,1991-10-17
74268,Mary,Kalafatis,Engineer,1985-04-19,1994-04-19
74361,Bernardo,Kuhnemann,Engineer,1985-09-16,1988-01-06
74365,Weiru,Peroz,Engineer,1985-05-03,1991-05-03
74387,Chinhyun,Verhoeff,Senior Engineer,1985-03-26,9999-01-01
74398,Pranjal,Michaeli,Senior Engineer,1985-08-16,9999-01-01
74449,Bezalel,Dusink,Engineer,1985-07-24,1992-07-24
74482,Abdulah,Zeidenstein,Engineer,1985-02-23,1992-02-24
74527,Stabislas,Zockler,Staff,1985-12-02,1994-12-02
74551,Boriana,Slutz,Senior Engineer,1985-12-01,9999-01-01
74604,Shugo,Driscoll,Senior Engineer,1985-11-15,1986-11-26
74647,Pranjal,Serov,Engineer,1985-10-01,1992-10-01
74804,Dipankar,Senzako,Senior Engineer,1985-05-15,1993-02-04
74919,Gurbir,Hainaut,Engineer,1985-10-26,1991-10-26
74948,Mahmut,Eickenmeyer,Engineer,1985-10-28,1994-06-08
74960,Oksana,Pena,Engineer,1985-12-24,1991-12-24
74982,Tonny,Shokrollahi,Engineer,1985-10-30,1993-10-30
75107,Dulce,Burnard,Engineer,1985-11-19,1990-11-19
75177,Basant,Pero,Engineer,1985-02-13,1994-02-13
75191,Shunichi,Rusmann,Senior Staff,1985-10-13,9999-01-01
75240,Taegyun,Naumovich,Senior Staff,1985-03-29,9999-01-01
75269,Adam,Linnainmaa,Staff,1985-05-08,1994-05-08
75301,Rildo,Kornyak,Senior Staff,1985-05-18,1998-02-02
75333,Pramod,Bharadwaj,Engineer,1985-02-23,1994-02-23
75548,Junsik,Rajala,Technique Leader,1985-05-26,9999-01-01
75620,Yannik,Murthy,Staff,1985-08-17,1992-08-17
75658,Dulce,Streng,Staff,1985-05-18,1991-05-18
75693,Leandro,Ranon,Engineer,1985-07-18,1991-07-18
75730,Basil,Rosar,Engineer,1985-07-31,1991-07-31
75734,Alois,Kavanagh,Senior Staff,1985-11-23,9999-01-01
75735,Karsten,Mikschl,Staff,1985-03-20,1991-03-20
75746,Ziva,Aumann,Engineer,1985-11-25,1991-11-25
75766,Zorica,Erol,Engineer,1985-03-03,1992-03-03
75823,Stamatina,Kroft,Engineer,1985-02-12,1986-07-13
75852,Prodip,Wissmann,Staff,1985-03-15,1991-03-15
75953,Nitsan,Pluym,Staff,1985-12-03,1994-12-03
75955,Erzsebet,Dymetman,Staff,1985-11-15,1994-11-15
75999,Richard,Eldridge,Senior Engineer,1985-03-06,9999-01-01
76065,Waiman,Taubenfeld,Staff,1985-05-23,1990-05-23
76141,Alassane,Dratva,Engineer,1985-03-05,1991-03-05
76298,Youssef,Kriebel,Staff,1985-06-29,1990-06-29
76412,Mechthild,Stiles,Engineer,1985-06-22,1990-06-22
76464,Oddvar,Litzler,Senior Engineer,1985-11-11,9999-01-01
76479,Hinrich,Sanella,Engineer,1985-03-09,1992-03-09
76547,Zine,Leaver,Senior Engineer,1985-07-07,9999-01-01
76550,Fumitake,Imataki,Senior Staff,1985-12-29,9999-01-01
76552,Stepehn,Besselaar,Staff,1985-12-26,1992-12-26
76573,Odysseas,Hennings,Staff,1985-12-04,1991-12-04
76574,Collette,Shackel,Engineer,1985-08-24,1994-08-24
76578,Kwan,Siegrist,Engineer,1985-09-17,1991-09-17
76625,Sushant,Magliocco,Staff,1985-05-22,1994-05-22
76781,Roded,Valiente,Engineer,1985-08-05,1993-08-05
76818,Rosalyn,Zallocco,Engineer,1985-09-19,1991-09-19
76883,Rimli,Beidas,Engineer,1985-12-09,1990-12-09
76914,Utz,Hoogerwoord,Engineer,1985-07-06,1991-07-06
76936,Shim,Stassinopoulos,Staff,1985-11-12,1993-11-12
77146,Rafail,Jeansoulin,Engineer,1985-03-26,1991-03-26
77151,Brigham,Muntz,Engineer,1985-04-28,1994-04-28
77156,Shalesh,Poulakidas,Staff,1985-10-05,1994-10-05
77188,Xiaobin,Plavsic,Senior Engineer,1985-10-07,9999-01-01
77202,Mari,Krzyzanowski,Staff,1985-02-26,1993-02-26
77327,Sastry,Doering,Engineer,1985-12-30,1994-12-30
77335,Sergi,Stentiford,Staff,1985-05-08,1990-05-08
77370,Saeed,Camurati,Staff,1985-10-18,1992-10-18
77494,Brigham,Colorni,Technique Leader,1985-11-28,2001-10-18
77555,Yefim,Demke,Engineer,1985-04-17,1993-04-17
77600,Murthy,Lunn,Staff,1985-06-01,1994-06-01
77611,Shem,Ebeling,Staff,1985-07-31,1991-07-31
77670,Becky,Marchegay,Staff,1985-09-22,1990-09-22
77784,Kazuhiro,Herbst,Staff,1985-11-14,1990-11-14
77801,Hugo,Hmelo,Staff,1985-05-11,1990-05-11
77805,Tristan,Heydon,Staff,1985-12-30,1990-12-30
77816,Masami,Ashish,Technique Leader,1985-06-02,9999-01-01
77842,Barna,Khalid,Staff,1985-10-10,1986-09-05
77868,Khalil,Zhiwei,Technique Leader,1985-05-11,9999-01-01
77892,Uma,Stellhorn,Engineer,1985-04-21,1990-04-21
77894,Weiru,McConalogue,Engineer,1985-10-22,1993-10-22
77965,Alenka,Rotem,Engineer,1985-12-19,1993-12-19
77989,Kristina,Conte,Engineer,1985-08-15,1992-08-15
78008,Persi,Berstel,Staff,1985-07-08,1991-07-08
78070,Aleksander,Munck,Staff,1985-08-11,1990-08-11
78076,Anestis,Bratsberg,Engineer,1985-05-16,1993-05-16
78149,Xinglin,Thambidurai,Engineer,1985-04-17,1992-04-17
78178,Sadok,Oaver,Engineer,1985-12-13,1992-12-13
78240,Haldun,Shokrollahi,Staff,1985-09-07,1994-09-07
78336,Munehiko,Denti,Senior Engineer,1985-12-15,9999-01-01
78501,Huai,Luga,Engineer,1985-09-27,1990-09-27
78563,Maya,Tanemo,Staff,1985-10-22,1994-10-22
78584,Arvin,Gruenwald,Senior Engineer,1985-05-28,9999-01-01
78587,Xiadong,Karcich,Engineer,1985-11-17,1991-11-17
78640,Sachar,Sinitsyn,Senior Staff,1985-12-06,9999-01-01
78676,Mona,Birjandi,Staff,1985-12-02,1992-12-02
78681,JoAnna,Sooriamurthi,Assistant Engineer,1985-06-15,1994-06-15
78685,Ramzi,Heiserman,Engineer,1985-05-07,1990-05-07
78759,Sachio,Clouatre,Engineer,1985-02-21,1991-02-21
78838,Fumino,Masada,Staff,1985-08-08,1992-08-08
78955,Sampalli,Fandrianto,Staff,1985-09-17,1992-09-17
78999,Hilari,Perri,Engineer,1985-05-27,1992-05-27
79224,Demin,Brender,Senior Engineer,1985-03-27,9999-01-01
79229,Jiafu,Zockler,Senior Staff,1985-02-05,9999-01-01
79305,Leif,Schaaf,Engineer,1985-07-03,1992-07-03
79357,Randy,Hmelo,Senior Engineer,1985-12-16,9999-01-01
79377,Nathan,Lamma,Assistant Engineer,1985-09-11,1993-09-11
79479,Aral,Spinelli,Senior Engineer,1985-03-23,9999-01-01
79517,Pramod,Jervis,Staff,1985-03-18,1993-03-18
79581,Zengping,Kohling,Senior Engineer,1985-02-17,9999-01-01
79609,Domenico,Hoogerwoord,Staff,1985-08-18,1991-02-28
79650,Guenter,Pramanik,Engineer,1985-03-07,1992-03-07
79691,Vitali,Poulakidas,Engineer,1985-10-01,1993-10-01
79743,Kazuhiko,Suomi,Assistant Engineer,1985-08-02,1992-08-02
79749,Tzu,Vieri,Staff,1985-10-08,1991-10-08
79808,Brigham,Leaver,Senior Staff,1985-02-10,9999-01-01
79830,Dzung,Binding,Staff,1985-11-26,1993-11-26
79864,Anyuan,Vandervoorde,Engineer,1985-09-24,1990-09-24
80045,Taegyun,Garrabrants,Engineer,1985-03-30,1992-03-30
80116,Lobel,Manders,Staff,1985-11-21,1991-11-21
80125,Jinpo,Kalorkoti,Technique Leader,1985-05-04,1997-09-30
80293,Candida,Puoti,Staff,1985-07-01,1993-07-01
80312,Shridhar,Wursthorn,Technique Leader,1985-07-08,9999-01-01
80343,Leandro,Nitsch,Engineer,1985-06-22,1991-06-22
80382,Mariangiola,Zucker,Engineer,1985-12-28,1994-12-28
80402,Xiaocheng,Mansanne,Engineer,1985-09-10,1987-05-09
80443,Duangkaew,Lieblein,Engineer,1985-06-11,1993-06-11
80494,Kinh,Zlotek,Engineer,1985-10-16,1992-10-16
80507,Yoshimitsu,Krichel,Staff,1985-11-27,1993-11-27
80534,Jeane,Simmel,Technique Leader,1985-08-05,9999-01-01
80539,Kersti,Narahari,Engineer,1985-06-03,1994-06-03
80545,Seongbae,Haddadi,Staff,1985-03-26,1990-03-26
80715,Maren,Sullins,Staff,1985-12-06,1993-12-06
80800,Shay,Scharstein,Senior Engineer,1985-08-30,9999-01-01
80849,Seshu,Olivero,Assistant Engineer,1985-07-19,1990-07-19
80865,Theirry,Schmezko,Staff,1985-06-17,1990-06-17
80872,Danil,Benner,Assistant Engineer,1985-06-27,1990-06-27
80967,Kyoichi,Alpin,Staff,1985-06-02,1994-06-02
81057,Patricio,Pocchiola,Engineer,1985-02-16,1991-02-16
81247,DeForest,Demri,Staff,1985-11-20,1990-11-20
81360,Genki,Jeansoulin,Senior Staff,1985-02-02,9999-01-01
81415,Shugo,Cmelik,Assistant Engineer,1985-02-15,1994-02-15
81446,Zissis,Cappelletti,Staff,1985-07-04,1993-07-04
81520,Sushant,Pocchiola,Engineer,1985-06-02,1994-06-02
81523,Morrie,Reinhard,Senior Engineer,1985-10-26,9999-01-01
81702,Suzette,Jullig,Staff,1985-11-03,1990-11-03
81715,Zhongwei,Valette,Staff,1985-05-25,1993-05-25
81771,Udo,Sommer,Engineer,1985-02-06,1994-02-06
81844,Miquel,Baalen,Senior Staff,1985-12-12,9999-01-01
81846,Ingmar,Ponthieu,Staff,1985-08-19,1991-08-19
81858,Adel,Falco,Staff,1985-02-22,1992-02-23
81927,Premal,Francisci,Staff,1985-03-06,1994-03-06
81958,Rajmohan,Hofting,Staff,1985-12-16,1992-12-16
81987,Mari,Chvatal,Senior Engineer,1985-07-22,1989-12-09
81996,Neelam,Magliocco,Engineer,1985-05-08,1993-05-08
82217,Aloys,Krybus,Staff,1985-05-06,1991-05-06
82233,Manton,Mayerwieser,Engineer,1985-05-14,1991-05-14
82282,Tru,Bahr,Engineer,1985-12-31,1992-12-31
82320,Breannda,Orsini,Engineer,1985-11-19,1992-11-19
82550,Gou,Chenoweth,Senior Engineer,1985-11-15,9999-01-01
82578,Zhilian,Kropatsch,Senior Staff,1985-06-24,2000-09-04
82615,Gudjon,Breugel,Senior Staff,1985-07-04,9999-01-01
82734,Arvind,Pews,Staff,1985-10-01,1990-10-01
82744,Naftaly,Hemaspaandra,Senior Staff,1985-05-14,9999-01-01
82753,Steen,Marakhovsky,Technique Leader,1985-11-20,9999-01-01
82974,Vatsa,Nyanchama,Staff,1985-06-03,1993-06-03
83042,Gilbert,Selvestrel,Engineer,1985-06-04,1991-06-04
83075,Pradeep,Unni,Staff,1985-09-24,1993-09-24
83103,Zhaofang,Perez,Staff,1985-06-23,1991-06-23
83246,Zhongwei,Gire,Engineer,1985-11-20,1991-11-20
83270,Lubomir,Bala,Senior Staff,1985-02-22,9999-01-01
83308,Dayanand,Marzano,Senior Engineer,1985-02-16,9999-01-01
83346,Alagu,Terwilliger,Engineer,1985-11-12,1992-11-12
83399,Tzu,Uchoa,Engineer,1985-02-10,1992-02-11
83409,Honesty,Gluchowski,Engineer,1985-07-23,1991-07-23
83486,Morrie,Leuchs,Engineer,1985-07-26,1994-07-26
83499,Khedija,Kossowski,Engineer,1985-02-05,1986-06-21
83554,Siddarth,Peha,Engineer,1985-12-20,1993-12-20
83567,Toshimitsu,Angot,Staff,1985-08-31,1994-08-31
83602,Zhilian,Lally,Senior Staff,1985-07-16,9999-01-01
83616,Sajjan,Uehara,Engineer,1985-09-06,1991-09-06
83672,Mayumi,Danecki,Senior Staff,1985-08-09,1997-07-17
83733,Hitomi,Wolniewicz,Staff,1985-08-10,1992-08-10
83893,Bluma,Pocchiola,Staff,1985-12-12,1991-12-12
83911,Subhash,Azulay,Senior Engineer,1985-03-18,9999-01-01
83983,Khue,Narahara,Staff,1985-12-22,1991-12-22
84016,Uri,Bolotov,Staff,1985-09-21,1991-09-21
84065,Aram,Otillio,Staff,1985-08-21,1993-08-21
84127,Munir,Parascandalo,Engineer,1985-12-13,1993-12-13
84147,Huan,Koshiba,Staff,1985-03-30,1994-03-30
84215,Xuejun,Litvinov,Senior Staff,1985-11-11,9999-01-01
84311,Pasqua,Albarhamtoshy,Assistant Engineer,1985-06-28,1994-06-28
84316,Hilari,Gerteisen,Technique Leader,1985-09-27,1985-12-03
84345,Danco,Kirkerud,Engineer,1985-05-19,1994-05-19
84378,Bowen,Argence,Engineer,1985-04-06,1992-04-06
